"_id","Al","B","C","Cb","Co","Cr","Fe","Hf","Mn","Mo","Nb","Nb+Ta","Ni","Re","Ru","Si","Ta","Ti","W","Zr","γ‘相晶格常数/晶格常数","力学性能/硬度","固溶热处理/固溶热处理时间","固溶热处理/固溶热处理温度","备注","拉伸测试/温度","拉紧态硬度测试/离晶界距离","摘录出处","放松态硬度测试/离晶界距离","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","材料牌号","测试温度/温度","热处理/热处理温度","热处理1/时间","热处理1/温度","热处理2/冷却速率","热处理2/时间","热处理2/温度","热处理3/时间","热处理3/温度","硬度测试/测试压力","硬度测试/测试温度","空气中时效/时效时间","空气中时效/时效温度","第一次时效/第一次时效时间","第一次时效/第一次时效温度","第二次时效/第二次时效时间","第二次时效/第二次时效温度","缩进/缩进值","蠕变断裂测试/拉力","蠕变断裂测试/温度"
"ObjectId(""5b4c9639e6b1a81674aab619"")","3.4","0.015","0.09",,"9.0","12.6",,,,"2.0",,,"61wt.%",,,,"4.0","4.1","4.0","0.11",,"5.7%",,,"",,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.",,"10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09","MOD 5A","70℉",,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9678e6b1a81674aab62f"")","3.4","0.015","0.09",,"9.0","12.6",,,,"2.0",,,"61wt.%",,,,"4.0","4.1","4.0","0.11",,"12.9%",,,"",,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.",,"10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09","MOD 5A","70℉",,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4ca4fde6b1a81674aabba3"")","0.42",,"0.03",,,"18.3","Balance",,,"3",,"5.17","53.2wt.%",,,"0.12",,"1",,,,"46.50Rc",,,"","25℃",,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",,"10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09","718",,,"1h","955℃","1℃/min","8h","718℃","8h","621℃",,,,,,,,,,,
"ObjectId(""5b4cc49ce6b1a819a85d6777"")","3.6",,"0.07",,"9","12.2",,,,"1.9",,,"balance",,,,"5","4.1","3.8",,,"145.342GPa",,,"",,,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.",,"10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,,,,"16.99",,
"ObjectId(""5b4cc4a1e6b1a819a85d6779"")","3.6",,"0.07",,"9","12.2",,,,"1.9",,,"balance",,,,"5","4.1","3.8",,,"152.795GPa",,,"",,,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.",,"10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,,,,"20.00",,
"ObjectId(""5b4cc4a6e6b1a819a85d677b"")","3.6",,"0.07",,"9","12.2",,,,"1.9",,,"balance",,,,"5","4.1","3.8",,,"150.932GPa",,,"",,,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.",,"10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,,,,"14.85",,
"ObjectId(""5b4cc4abe6b1a819a85d677d"")","3.6",,"0.07",,"9","12.2",,,,"1.9",,,"balance",,,,"5","4.1","3.8",,,"150.932GPa",,,"",,,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.",,"10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,,,,"15.92",,
"ObjectId(""5b4cc4afe6b1a819a85d677f"")","3.6",,"0.07",,"9","12.2",,,,"1.9",,,"balance",,,,"5","4.1","3.8",,,"150.932GPa",,,"",,,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.",,"10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,,,,"18.93",,
"ObjectId(""5b4cc4b9e6b1a819a85d6783"")","3.6",,"0.07",,"9","12.2",,,,"1.9",,,"balance",,,,"5","4.1","3.8",,,"156.522GPa",,,"",,,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.",,"10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,,,,"17.96",,
"ObjectId(""5b4cc4d7e6b1a819a85d678d"")","3.6",,"0.07",,"9","12.2",,,,"1.9",,,"balance",,,,"5","4.1","3.8",,,"121.118GPa",,,"",,,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.",,"10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,,,,"11.07",,
"ObjectId(""5b4cc4dbe6b1a819a85d678f"")","3.6",,"0.07",,"9","12.2",,,,"1.9",,,"balance",,,,"5","4.1","3.8",,,"126.708GPa",,,"",,,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.",,"10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,,,,"8.93",,
"ObjectId(""5b4cc4e0e6b1a819a85d6791"")","3.6",,"0.07",,"9","12.2",,,,"1.9",,,"balance",,,,"5","4.1","3.8",,,"150.932GPa",,,"",,,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.",,"10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,,,,"6.99",,
"ObjectId(""5b4cc4e5e6b1a819a85d6793"")","3.6",,"0.07",,"9","12.2",,,,"1.9",,,"balance",,,,"5","4.1","3.8",,,"154.658GPa",,,"",,,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.",,"10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,,,,"6.02",,
"ObjectId(""5b4cc4eae6b1a819a85d6795"")","3.6",,"0.07",,"9","12.2",,,,"1.9",,,"balance",,,,"5","4.1","3.8",,,"156.522GPa",,,"",,,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.",,"10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,,,,"0.97",,
"ObjectId(""5b4cc4efe6b1a819a85d6797"")","3.6",,"0.07",,"9","12.2",,,,"1.9",,,"balance",,,,"5","4.1","3.8",,,"121.118GPa",,,"",,,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.",,"10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,,,,"9.90",,
"ObjectId(""5b4cc4f4e6b1a819a85d6799"")","3.6",,"0.07",,"9","12.2",,,,"1.9",,,"balance",,,,"5","4.1","3.8",,,"115.528GPa",,,"",,,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.",,"10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,,,,"12.04",,
"ObjectId(""5b4cc4fde6b1a819a85d679d"")","3.6",,"0.07",,"9","12.2",,,,"1.9",,,"balance",,,,"5","4.1","3.8",,,"124.845GPa",,,"",,,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.",,"10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,,,,"13.01",,
"ObjectId(""5b4cc502e6b1a819a85d679f"")","3.6",,"0.07",,"9","12.2",,,,"1.9",,,"balance",,,,"5","4.1","3.8",,,"143.478GPa",,,"",,,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.",,"10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,,,,"8.06",,
"ObjectId(""5b4cc507e6b1a819a85d67a1"")","3.6",,"0.07",,"9","12.2",,,,"1.9",,,"balance",,,,"5","4.1","3.8",,,"150.932GPa",,,"",,,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.",,"10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,,,,"2.91",,
"ObjectId(""5b4cc50ce6b1a819a85d67a3"")","3.6",,"0.07",,"9","12.2",,,,"1.9",,,"balance",,,,"5","4.1","3.8",,,"154.658GPa",,,"",,,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.",,"10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,,,,"1.94",,
"ObjectId(""5b4cc511e6b1a819a85d67a5"")","3.6",,"0.07",,"9","12.2",,,,"1.9",,,"balance",,,,"5","4.1","3.8",,,"150.932GPa",,,"",,,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.",,"10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,,,,"3.88",,
"ObjectId(""5b4cc516e6b1a819a85d67a7"")","3.6",,"0.07",,"9","12.2",,,,"1.9",,,"balance",,,,"5","4.1","3.8",,,"141.615GPa",,,"",,,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.",,"10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,,,,"13.98",,
"ObjectId(""5b4cc51ae6b1a819a85d67a9"")","3.6",,"0.07",,"9","12.2",,,,"1.9",,,"balance",,,,"5","4.1","3.8",,,"156.522GPa",,,"",,,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.",,"10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,,,,"5.05",,
"ObjectId(""5b4cc572e6b1a819a85d67c9"")","3.6",,"0.07",,"9","12.2",,,,"1.9",,,"balance",,,,"5","4.1","3.8",,,"121.118GPa",,,"",,,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.",,"10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,,,,"29.10",,
"ObjectId(""5b4cc577e6b1a819a85d67cb"")","3.6",,"0.07",,"9","12.2",,,,"1.9",,,"balance",,,,"5","4.1","3.8",,,"130.435GPa",,,"",,,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.",,"10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,,,,"30.17",,
"ObjectId(""5b4cc57ce6b1a819a85d67cd"")","3.6",,"0.07",,"9","12.2",,,,"1.9",,,"balance",,,,"5","4.1","3.8",,,"126.708GPa",,,"",,,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.",,"10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,,,,"30.93",,
"ObjectId(""5b4cc581e6b1a819a85d67cf"")","3.6",,"0.07",,"9","12.2",,,,"1.9",,,"balance",,,,"5","4.1","3.8",,,"132.298GPa",,,"",,,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.",,"10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,,,,"25.14",,
"ObjectId(""5b4cc586e6b1a819a85d67d1"")","3.6",,"0.07",,"9","12.2",,,,"1.9",,,"balance",,,,"5","4.1","3.8",,,"132.298GPa",,,"",,,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.",,"10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,,,,"22.86",,
"ObjectId(""5b4cc59ae6b1a819a85d67d9"")","3.6",,"0.07",,"9","12.2",,,,"1.9",,,"balance",,,,"5","4.1","3.8",,,"143.478GPa",,,"",,,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.",,"10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,,,,"27.89",,
"ObjectId(""5b4cc5a5e6b1a819a85d67dd"")","3.6",,"0.07",,"9","12.2",,,,"1.9",,,"balance",,,,"5","4.1","3.8",,,"126.708GPa",,,"",,,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.",,"10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,,,,"26.97",,
"ObjectId(""5b4cc5aae6b1a819a85d67df"")","3.6",,"0.07",,"9","12.2",,,,"1.9",,,"balance",,,,"5","4.1","3.8",,,"137.888GPa",,,"",,,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.",,"10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,,,,"21.94",,
"ObjectId(""5b4cc5afe6b1a819a85d67e1"")","3.6",,"0.07",,"9","12.2",,,,"1.9",,,"balance",,,,"5","4.1","3.8",,,"132.298GPa",,,"",,,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.",,"10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,,,,"23.92",,
"ObjectId(""5b4cc5b4e6b1a819a85d67e3"")","3.6",,"0.07",,"9","12.2",,,,"1.9",,,"balance",,,,"5","4.1","3.8",,,"132.298GPa",,,"",,,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.",,"10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,,,,"32.15",,
"ObjectId(""5b4cc5b8e6b1a819a85d67e5"")","3.6",,"0.07",,"9","12.2",,,,"1.9",,,"balance",,,,"5","4.1","3.8",,,"130.435GPa",,,"",,,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.",,"10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,,,,"25.90",,
"ObjectId(""5b4cc5c2e6b1a819a85d67e7"")","3.6",,"0.07",,"9","12.2",,,,"1.9",,,"balance",,,,"5","4.1","3.8",,,"132.298GPa",,,"",,,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.",,"10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,,,,"12.95",,
"ObjectId(""5b4cc5c7e6b1a819a85d67e9"")","3.6",,"0.07",,"9","12.2",,,,"1.9",,,"balance",,,,"5","4.1","3.8",,,"122.981GPa",,,"",,,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.",,"10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,,,,"16.91",,
"ObjectId(""5b4cc5cce6b1a819a85d67eb"")","3.6",,"0.07",,"9","12.2",,,,"1.9",,,"balance",,,,"5","4.1","3.8",,,"124.845GPa",,,"",,,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.",,"10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,,,,"17.98",,
"ObjectId(""5b4cc5d1e6b1a819a85d67ed"")","3.6",,"0.07",,"9","12.2",,,,"1.9",,,"balance",,,,"5","4.1","3.8",,,"126.708GPa",,,"",,,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.",,"10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,,,,"14.93",,
