"1050℃+150MPa蠕变条件/时间","1150℃+100MPa蠕变条件/时间","700MPa不均匀变形的蠕变测试/温度","700MPa晶界滑移的蠕变测试/温度","_id","Al","Al2O3涂层/Al2O3含量","Al2O3涂层/Al含量","Al2O3涂层/Fe含量","Al2O3涂层/NH4Cl含量","Al2O3涂层/NH5Cl含量","Al2O3涂层/加热时间","Al2O3涂层/温度","Al2O4涂层/加热时间","B","C","Co","Cr","Hf","Ir","Mo","Nb","Ni","Re","Ru","Ta","Ti","W","Zr","力学性能/蠕变应变","固溶处理/时间","固溶处理/温度","固溶处理油淬/时间","固溶处理油淬/温度","固溶处理（炉冷）/时间","固溶处理（炉冷）/温度","圆盘型显微结构724Mpa且677℃下蠕变测试/时间","均匀化处理/时间","均匀化处理/温度","备注","孔型显微结构724Mpa且677℃下蠕变测试/时间","拉伸/时间","拉伸蠕变测试/测试压力","拉伸蠕变测试/测试温度","拉伸蠕变测试/蠕变时间","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","施加恒定应力/应力","施加恒定温度/温度","时效处理/时间","时效处理/温度","时效处理/炉冷","时效处理/空冷","时效处理空冷/时间","时效处理空冷/温度","材料牌号","炉冷/温度","热挤压/热挤压温度","热轧/热轧时间","热轧/热轧温度","直径/坯料直径","第一次轧制/温度","第二次轧制/温度","蠕变变形测试/时间","蠕变变形测试/测试温度","蠕变变形测试/蠕变应力","蠕变实验/平均压力","蠕变实验/平均应力","蠕变实验/时间","蠕变实验/晶向","蠕变实验/温度","蠕变断裂/加载应力","蠕变断裂/时间","蠕变断裂实验/温度","蠕变断裂测试/温度","蠕变测试/压力","蠕变测试/应力","蠕变测试/时间","蠕变测试/晶格取向","蠕变测试/温度","蠕变测试/蠕变应力","蠕变测试/蠕变时间","蠕变测试/蠕变温度","蠕变测试/试样厚度","退火/退火时间","退火/退火温度","重量/铸锭重量","镀铝/镀铝"
,,,,"ObjectId(""5b4cc1dbe6b1a819a85d6669"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.827%",,,,,,,"2453.49hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc1dfe6b1a819a85d666b"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.912%",,,,,,,"2604.65hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc1e4e6b1a819a85d666d"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.874%",,,,,,,"2534.88hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc1e9e6b1a819a85d666f"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.926%",,,,,,,"2639.53hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc1eee6b1a819a85d6671"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.950%",,,,,,,"2686.05hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc1f3e6b1a819a85d6673"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.865%",,,,,,,"2511.63hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc1f8e6b1a819a85d6675"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.935%",,,,,,,"2662.79hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"700.00℃",,"ObjectId(""5b4cc1fde6b1a819a85d6677"")","3.1",,,,,,,,,"0.012","0.023","14.8wt.%","14.0","0.33",,"2.0",,"balance",,,,"4.5","4.1","0.053","0.69%",,,,,,,,,,"",,,,,,"Soula A, Renollet Y, Boivin D, et al. Grain Boundary and Intragranular Deformations during High Temperature Creep of a PM Nickel-Based Superalloy[C]// Superalloys. 2008:387-394.","10.11961/mater0203.MGI.20171221.ds.0071","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"NR6 alloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc202e6b1a819a85d6679"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.883%",,,,,,,"2558.14hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"750℃",,"ObjectId(""5b4cc206e6b1a819a85d667b"")","3.1",,,,,,,,,"0.012","0.023","14.8wt.%","14.0","0.33",,"2.0",,"balance",,,,"4.5","4.1","0.053","0.57%",,,,,,,,,,"",,,,,,"Soula A, Renollet Y, Boivin D, et al. Grain Boundary and Intragranular Deformations during High Temperature Creep of a PM Nickel-Based Superalloy[C]// Superalloys. 2008:387-394.","10.11961/mater0203.MGI.20171221.ds.0071","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"NR6 alloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc20be6b1a819a85d667d"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.983%",,,,,,,"2732.56hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc215e6b1a819a85d667f"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.798%",,,,,,,"2395.35hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc21ae6b1a819a85d6681"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.732%",,,,,,,"2279.07hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc21fe6b1a819a85d6683"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.789%",,,,,,,"2383.72hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc223e6b1a819a85d6685"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.746%",,,,,,,"2302.33hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc228e6b1a819a85d6687"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.723%",,,,,,,"2244.19hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc22de6b1a819a85d6689"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.628%",,,,,,,"2058.14hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc232e6b1a819a85d668b"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.690%",,,,,,,"2186.05hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc237e6b1a819a85d668d"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.813%",,,,,,,"2418.60hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc23ce6b1a819a85d668f"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.704%",,,,,,,"2209.30hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc241e6b1a819a85d6691"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.680%",,,,,,,"2162.79hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc246e6b1a819a85d6693"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.638%",,,,,,,"2081.40hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc24ae6b1a819a85d6695"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.666%",,,,,,,"2139.53hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc250e6b1a819a85d6697"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.761%",,,,,,,"2337.21hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc255e6b1a819a85d6699"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.775%",,,,,,,"2360.47hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc259e6b1a819a85d669b"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.652%",,,,,,,"2104.65hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc263e6b1a819a85d669d"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.501%",,,,,,,"1767.44hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc268e6b1a819a85d669f"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.463%",,,,,,,"1686.05hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc26de6b1a819a85d66a1"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.581%",,,,,,,"1953.49hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc272e6b1a819a85d66a3"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.439%",,,,,,,"1616.28hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc277e6b1a819a85d66a5"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.454%",,,,,,,"1651.16hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc27ce6b1a819a85d66a7"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.543%",,,,,,,"1872.09hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
