,NumberOfInstances,LogNumberOfInstances,NumberOfFeatures,LogNumberOfFeatures,NumberOfOutliers,PercentageOfInstancesWithOutliers,NumberOfInstancesWithMissingValues,PercentageOfInstancesWithMissingValues,NumberOfFeaturesWithMissingValues,PercentageOfFeaturesWithMissingValues,NumberOfMissingValues,PercentageOfMissingValues,NumberOfNumericFeatures,NumberOfCategoricalFeatures,RatioNumericalToNominal,RatioNominalToNumerical,DatasetRatio,LogDatasetRatio,InverseDatasetRatio,LogInverseDatasetRatio,SymbolsMin,SymbolsMax,SymbolsMean,SymbolsSTD,SymbolsSum,KurtosisMin,KurtosisMax,KurtosisMean,KurtosisSTD,SkewnessMin,SkewnessMax,SkewnessMean,SkewnessSTD,LandmarkLDA,LandmarkNaiveBayes,LandmarkDecisionTree,LandmarkDecisionNodeLearner,LandmarkRandomNodeLearner,Landmark1NN,PCAFractionOfComponentsFor95PercentVariance,PCAKurtosisFirstPC,PCASkewnessFirstPC
bodyfat.xls,252,5.529429088,14,2.63905733,59,0.234126984,0,0,0,0,0,0,14,1,14,0.071428571,0.055555556,-2.890371758,18,2.890371758,0,0,0,0,0,-0.431939452,58.34571447,6.624450216,14.70625696,-5.352882385,2.241688967,0.255200008,1.670943002,0.960294872,0.790679487,0.996153846,0.996153846,0.776948718,0.693474359,0.142857143,4.702595,1.1356118
breast-w.xls,700,6.551080335,9,2.197224577,100,0.142857143,0,0,0,0,0,0,8,2,4,0.25,0.012857143,-4.353855758,77.77777778,4.353855758,11,11,11,0,11,-0.624087008,12.58295109,1.969296668,4.084811079,0.592612565,3.556067944,1.533314995,0.825447485,0.948792173,0.95583326,0.937402677,0.924444347,0.895951652,0.944545534,0.777777778,-0.4443314,0.97459984
car.xls,1728,7.454719949,6,1.791759469,1096,0.634259259,0,0,0,0,0,0,0,7,0,0,0.003472222,-5.66296048,288,5.66296048,3,4,3.5,0.5,21,0,0,0,0,0,0,0,0,0.656316393,0.602987584,0.867318051,0.700258699,0.700258699,0.653747735,1,-1.36,0
chatfield_4.xls,235,5.459585514,11,2.397895273,83,0.353191489,0,0,0,0,0,0,11,1,11,0.090909091,0.046808511,-3.061690241,21.36363636,3.061690241,0,0,0,0,0,0.132745815,1.965086826,0.852313651,0.560897671,0.877067924,1.299026847,1.070138118,0.135267203,0.838471014,0.871847826,0.846471014,0.871847826,0.892891304,0.884724638,0.363636364,0.41735816,0.9550395
chscase_census6.xls,400,5.991464547,6,1.791759469,117,0.2925,0,0,0,0,0,0,6,1,6,0.166666667,0.015,-4.199705078,66.66666667,4.199705078,0,0,0,0,0,2.989782687,44.05709811,21.21808657,14.77321222,1.733106613,5.396282196,3.602232734,1.338693387,0.575109443,0.582426517,0.528017511,0.567917448,0.550093809,0.53558474,0.833333333,25.56091,3.7836266
chscase_geyser1.xls,222,5.402677382,2,0.693147181,61,0.274774775,0,0,0,0,0,0,2,1,2,0.5,0.009009009,-4.709530201,111,4.709530201,0,0,0,0,0,-1.682389789,-1.192029842,-1.437209815,0.245179974,-0.594530642,-0.061459329,-0.327994986,0.266535657,0.910417843,0.888678713,0.824120083,0.883540373,0.579841897,0.785215509,0.5,-1.6826622,0.06170196
chscase_whale.xls,228,5.429345629,8,2.079441542,78,0.342105263,0,0,0,0,0,0,4,5,0.8,1.25,0.035087719,-3.349904087,28.5,3.349904087,19,224,116.5,88.91709622,466,-2,2.437949037,0.37966521,1.619580391,-0.040903114,1.149989843,0.506593728,0.533624047,0.940909091,0.986363636,0.977667984,0.986363636,0.495849802,0.464690382,0.375,1.148521,0.86201936
climate-model-simulation-crashes.xls,540,6.29156914,19,2.944438979,205,0.37962963,0,0,0,0,0,0,20,0,0,0,0.035185185,-3.34713016,28.42105263,3.34713016,0,0,0,0,0,-1.500000045,-1.198680818,-1.215802645,0.066989098,-0.000830325,0.00127102,5.20E-06,0.000669873,0.948099231,0.951941427,0.914791945,0.914929166,0.914929166,0.889064227,0.947368421,-1.4999999,-5.19E-08
cmc.xls,1473,7.295056416,9,2.197224577,577,0.391717583,0,0,0,0,0,0,10,0,0,0,0.00610998,-5.097831839,163.6666667,5.097831839,0,0,0,0,0,-1.324564578,8.593673215,0.923698212,2.917300045,-1.967494488,3.254791975,-0.135444101,1.470600443,0.511854355,0.466409547,0.471010067,0.427025625,0.422943992,0.460943511,0.222222222,-0.94817495,0.24847487
collins.xls,1000,6.907755279,22,3.091042453,313,0.313,0,0,0,0,0,0,23,0,0,0,0.022,-3.816712826,45.45454545,3.816712826,0,0,0,0,0,-2,27.51730565,3.11079859,6.384814426,-0.079236425,3.981782198,1.034772549,0.98836239,0.868714935,1,0.943879855,0.161337957,0.161337957,0.932506775,0.045454545,-1.199754,2.28E-05
cpu.xls,209,5.342334252,7,1.945910149,24,0.114832536,0,0,0,0,0,0,6,2,3,0.333333333,0.033492823,-3.396424103,29.85714286,3.396424103,30,30,30,0,30,5.733633105,21.90637889,12.86000379,5.803894104,2.125268221,3.998370171,3.085775654,0.651471241,0.952575758,0.947056277,0.926645022,0.826233766,0.751515152,0.962770563,0.142857143,5.8285923,2.1468282
credit-approval.xls,690,6.536691598,15,2.708050201,139,0.201449275,0,0,0,0,0,0,4,12,0.333333333,3,0.02173913,-3.828641396,46,3.828641396,2,350,51.45454545,105.7461486,566,2.248894509,213.108921,69.23036896,85.02655113,1.485574722,13.1120739,5.656000197,4.498016323,0.861305566,0.78571185,0.790267324,0.855465839,0.578124467,0.646394471,0.066666667,213.10849,13.112059
cylinder-bands.xls,540,6.29156914,39,3.663561646,51,0.094444444,0,0,0,0,0,0,4,36,0.111111111,9,0.072222222,-2.628007493,13.84615385,2.628007493,1,429,39.65714286,74.84610606,1388,-1.746858235,16.51102971,4.499980555,7.174352739,-0.61413765,3.282417774,1.141130202,1.477360036,0.626772124,0.675586684,0.528162124,0.637817165,0.577789213,0.464685217,0.051282051,13.613071,3.0107903
dataset_105_lung-cancer.xls,32,3.465735903,56,4.025351691,13,0.40625,0,0,0,0,0,0,55,2,27.5,0.036363636,1.75,0.559615788,0.571428571,-0.559615788,4,4,4,0,8,-1.936507937,27.03225806,1.317754342,4.533321051,-2.267786741,5.388159275,0.166926031,1.392790815,0.441666667,0.45,0.408333333,0.416666667,0.458333333,0.491666667,0.357142857,-0.7084179,0.4952585
dataset_10_lymph.xls,148,4.997212274,18,2.890371758,45,0.304054054,0,0,0,0,0,0,3,16,0.1875,5.333333333,0.121621622,-2.106840516,8.222222222,2.106840516,2,8,2.933333333,1.569146973,44,-0.527494012,28.71361787,9.51244074,13.58202065,0.330402911,5.387047291,2.302843908,2.208985408,0.831587302,0.700456349,0.768392857,0.687380952,0.54952381,0.742996032,0.611111111,0.36939955,1.0758269
dataset_113_primary-tumor.xls,339,5.826000107,17,2.833213344,138,0.407079646,0,0,0,0,0,0,0,18,0,0,0.050147493,-2.992786763,19.94117647,2.992786763,2,4,2.470588235,0.696009386,42,0,0,0,0,0,0,0,0,0.427788416,0.139699431,0.349794581,0.227631195,0.227631195,0.334115791,0.764705882,-1.4936736,0.2649743
dataset_13_breast-cancer.xls,286,5.655991811,9,2.197224577,100,0.34965035,0,0,0,0,0,0,0,10,0,0,0.031468531,-3.458767233,31.77777778,3.458767233,2,11,4.777777778,2.819683898,43,0,0,0,0,0,0,0,0,0.727389163,0.738341544,0.649449918,0.706453202,0.702898194,0.674934319,0.666666667,-0.34540772,0.32107255
dataset_185_yeast.xls,1484,7.302496424,8,2.079441542,494,0.332884097,0,0,0,0,0,0,8,1,8,0.125,0.005390836,-5.223054882,185.5,5.223054882,0,0,0,0,0,0.453474419,105.3786982,28.56035461,43.21445771,-1.789827228,10.26648998,2.909882165,4.363986235,0.586147119,0.141513259,0.468826053,0.407108008,0.331562437,0.48440541,0.875,0.52272105,0.6292367
dataset_189_baseball.xls,1340,7.200424893,17,2.833213344,426,0.317910448,0,0,0,0,0,0,15,3,5,0.2,0.012686567,-4.367211549,78.82352941,4.367211549,7,1339,689.6666667,544.2973044,2069,0.246973666,7.998074458,2.028513269,2.105751419,-1.864301085,2.46287775,0.781860953,0.943707291,0.930619803,0.835947883,0.902259085,0.906759644,0.906759644,0.894055828,0.117647059,0.3018272,0.61762387
dataset_190_braziltourism.xls,412,6.021023349,8,2.079441542,108,0.262135922,0,0,0,0,0,0,2,7,0.285714286,3.5,0.019417476,-3.941581808,51.5,3.941581808,4,102,46,39.89987469,322,0.93398729,0.93398729,0.93398729,0,1.71288836,1.71288836,1.71288836,0,0.766625806,0.42876097,0.658245174,0.783343972,0.774062871,0.647175204,0.5,-1.2410827,-0.07455631
dataset_27_colic.xls,368,5.908082938,22,3.091042453,128,0.347826087,0,0,0,0,0,0,0,23,0,0,0.059782609,-2.817040485,16.72727273,2.817040485,2,85,18.90909091,23.12006034,416,0,0,0,0,0,0,0,0,0.834186818,0.807511459,0.761411411,0.809921764,0.639003477,0.611391655,0.272727273,-0.57185125,0.514698
dataset_31_credit-g.xls,1000,6.907755279,20,2.995732274,332,0.332,0,0,0,0,0,0,7,14,0.5,2,0.02,-3.912023005,50,3.912023005,2,10,4.153846154,1.955117696,54,-1.380544905,4.265164053,0.913668794,1.77655193,-0.530551016,1.946702242,0.918997977,0.903594091,0.728,0.688,0.677,0.7,0.7,0.608,0.05,4.265114,1.9466922
dataset_34_postoperative-patient-data.xls,90,4.49980967,8,2.079441542,26,0.288888889,0,0,0,0,0,0,0,9,0,0,0.088888889,-2.420368129,11.25,2.420368129,2,5,3,0.866025404,24,0,0,0,0,0,0,0,0,0.663636364,0.458282828,0.585252525,0.683636364,0.708636364,0.534621212,0.875,0.27161622,0.8762023
dataset_35_dermatology.xls,366,5.902633333,34,3.526360525,123,0.336065574,0,0,0,0,0,0,34,1,34,0.029411765,0.092896175,-2.376272809,10.76470588,2.376272809,61,61,61,0,61,-1.412678796,23.11695608,2.545545312,5.415873475,-0.391872436,4.758910656,1.439495326,1.266002853,0.966855922,0.879004884,0.948974359,0.502710623,0.357652625,0.899575702,0.088235294,-0.8297558,0.23342957
dataset_39_ecoli.xls,336,5.81711116,7,1.945910149,89,0.264880952,0,0,0,0,0,0,7,1,7,0.142857143,0.020833333,-3.871201011,48,3.871201011,0,0,0,0,0,-1.047075961,331.0029741,51.18798926,114.6707618,-0.165214226,18.24836922,3.58938501,6.259997613,0.85630681,0.747251404,0.807445491,0.632387298,0.623095315,0.808229159,0.714285714,-0.9584911,0.37385124
dataset_40_sonar.xls,208,5.33753808,60,4.094344562,85,0.408653846,0,0,0,0,0,0,60,1,60,0.016666667,0.288461538,-1.243193517,3.466666667,1.243193517,0,0,0,0,0,-1.209918363,20.21229357,2.193705564,4.160613519,-0.783208013,3.37711668,0.960230496,0.938409223,0.655627706,0.603614719,0.605779221,0.713116883,0.460735931,0.611212121,0.283333333,-0.66638875,0.17577565
dataset_41_glass.xls,214,5.365976015,9,2.197224577,61,0.285046729,0,0,0,0,0,0,9,1,9,0.111111111,0.042056075,-3.168751438,23.77777778,3.168751438,0,0,0,0,0,-0.428701158,53.39231954,9.650672462,15.82818609,-1.14446497,6.505635738,1.641002403,2.165865196,0.611258235,0.459828722,0.696333522,0.450564653,0.303826777,0.706001631,0.555555556,2.249434,1.6084137
dataset_42_soybean.xls,683,6.52649486,35,3.555348061,243,0.355783309,0,0,0,0,0,0,0,36,0,0,0.05124451,-2.971146798,19.51428571,2.971146798,2,8,3.8,1.063686313,133,0,0,0,0,0,0,0,0,0.885773312,0.853043799,0.914659323,0.262386615,0.262386615,0.847517217,0.457142857,0.6294317,1.3940356
dataset_43_haberman.xls,306,5.723585102,3,1.098612289,97,0.316993464,0,0,0,0,0,0,4,0,0,0,0.009803922,-4.624972813,102,4.624972813,0,0,0,0,0,-1.120171831,11.52052448,3.267000939,5.839994406,0.078369714,2.969176054,1.064443968,1.347130155,0.74811828,0.751875,0.592412634,0.725638441,0.73531586,0.631337366,1,-0.5855615,0.15572073
dataset_48_tae.xls,151,5.017279837,5,1.609437912,63,0.417218543,0,0,0,0,0,0,6,0,0,0,0.033112583,-3.407841924,30.2,3.407841924,0,0,0,0,0,-1.155816374,1.744905581,0.026750359,0.999072024,-1.935175896,0.861498833,-0.430417419,1.117930713,0.5425,0.516309524,0.695714286,0.376547619,0.409404762,0.621845238,0.6,-0.3728609,0.49518773
dataset_49_heart-c.xls,303,5.713732806,13,2.564949357,93,0.306930693,0,0,0,0,0,0,5,9,0.555555556,1.8,0.04290429,-3.148783448,23.30769231,3.148783448,2,5,3.125,1.053268722,25,-0.552998436,4.411682881,1.240448783,1.744850829,-0.534745693,1.263425469,0.475036487,0.720187005,0.823744902,0.797623285,0.777615869,0.758698554,0.512280311,0.594675565,0.230769231,4.3221307,1.1280762
dataset_51_heart-h.xls,294,5.683579767,13,2.564949357,111,0.37755102,0,0,0,0,0,0,2,12,0.166666667,6,0.044217687,-3.11863041,22.61538462,3.11863041,2,154,25.81818182,45.40888616,284,-0.514370658,2.12349229,0.804560816,1.318931474,-0.28280881,1.540910721,0.629050955,0.911859766,0.816239737,0.764934319,0.671756979,0.813029557,0.639605911,0.561387521,0.153846154,-1.0488194,-0.18713945
dataset_53_heart-statlog.xls,270,5.598421959,13,2.564949357,74,0.274074074,0,0,0,0,0,0,13,1,13,0.076923077,0.048148148,-3.033472602,20.76923077,3.033472602,0,0,0,0,0,-1.990553487,4.783268646,0.090883701,1.813608331,-0.873878002,1.980887175,0.424587303,0.834465125,0.840740741,0.840740741,0.744444444,0.718518519,0.544444444,0.581481481,0.230769231,4.6088805,1.1580346
dataset_55_hepatitis.xls,155,5.043425117,19,2.944438979,54,0.348387097,0,0,0,0,0,0,1,19,0.052631579,19,0.122580645,-2.098986138,8.157894737,2.098986138,2,85,17.5,26.89537341,315,-0.141335106,-0.141335106,-0.141335106,0,0.361749172,0.361749172,0.361749172,0,0.800857843,0.711470588,0.786740196,0.754191176,0.794191176,0.800073529,0.263157895,-0.95687985,0.52022326
dataset_56_vote.xls,435,6.075346031,16,2.772588722,174,0.4,0,0,0,0,0,0,0,17,0,0,0.036781609,-3.302757309,27.1875,3.302757309,3,3,3,0,48,0,0,0,0,0,0,0,0,0.941885634,0.935228531,0.953521091,0.944266586,0.687083459,0.90752542,0.875,-1.5022217,-0.11922739
dataset_59_ionosphere.xls,351,5.860786223,34,3.526360525,125,0.356125356,0,0,0,0,0,0,34,1,34,0.029411765,0.096866097,-2.334425699,10.32352941,2.334425699,0,0,0,0,0,-3,4.358246096,0.24075357,1.188139761,-2.521556377,0.112164073,-0.564856055,0.634366116,0.855975724,0.883674136,0.864715219,0.823795518,0.605177404,0.861120448,0.705882353,-1.2400384,0.27070186
dataset_5_arrhythmia.xlsx,452,6.11368218,279,5.631211782,157,0.347345133,0,0,0,0,0,0,275,5,55,0.018181818,0.617256637,-0.482470398,1.620071685,0.482470398,64,171,108.4,40.28200591,542,-3,447.0023191,79.65478273,124.5358567,-21.18966484,21.1896801,3.939809858,7.748129586,0.507457113,0.165398496,0.626341898,0.558466079,0.546731347,0.554358879,0.143369176,0.124871016,0.45738673
dataset_61_iris.xls,150,5.010635294,4,1.386294361,54,0.36,0,0,0,0,0,0,4,1,4,0.25,0.026666667,-3.624340933,37.5,3.624340933,0,0,0,0,0,-1.395358904,0.241442688,-0.765682518,0.665601891,-0.271712482,0.330701739,0.066699699,0.261433747,0.98,0.953333333,0.953333333,0.666666667,0.62,0.96,0.5,-1.3710395,-0.2165614
