,dbscan,kmeans,meanshift,agglomerative,ward,birch,affinity
chatfield_4.xls,0.654716089,0.07393299,0.037033169,0,0.038404702,0.230759672,0.180464388
chscase_census6.xls,1.010749241,0.326614136,0.188290916,0,0.033681299,0.033681299,0.562881101
chscase_geyser1.xls,0,0,0,0,0,0.172787437,0.316213272
chscase_whale.xls,0.40993819,0.158673188,0.05039315,0,0.102084695,0.206274322,0.228388303
climate-model-simulation-crashes.xls,0.069493319,0,0.112006963,0,0,0.075314173,0.166323644
cmc.xls,0.242948728,0,0.048274518,0.093292155,0.048515165,0.088556696,0.373681882
collins.xls,-1,0,0,0,0,0.078270342,0.115016398
cpu.xls,1.171028967,0.064064881,0.082347302,0,0.066653402,0.140631419,0.155548785
credit-approval.xls,0.949850724,0.003844499,0.128476631,0,0.009152357,0.015816549,0.135413031
cylinder-bands.xls,1.562959921,0.014502215,0,0.044551716,0.014937897,0.308800373,0.103698828
dataset_105_lung-cancer.xls,-1,0.051010553,0,0.024878678,0.024878678,0.062108054,0.072721449
dataset_10_lymph.xls,0.000162752,0.036976019,0,0.018231684,0.00299622,0.177863454,0.240603295
dataset_113_primary-tumor.xls,0.225595748,0.091287609,0,0,0.091267557,0.105151486,0.078360511
dataset_13_breast-cancer.xls,0.32636466,0.038284557,0.010428214,0,0.00707848,0.05139593,0.034717933
dataset_185_yeast.xls,0,0.150209988,0,0,0,0.232941314,0.431516978
dataset_189_baseball.xls,-1,0.173202165,0.168601368,0,0.192465718,0.223085944,0.445933023
dataset_190_braziltourism.xls,0,0.42321792,0.121681246,0.306277601,0.286201462,0.443032474,0.460649219
dataset_27_colic.xls,0.167800518,0.022702822,0,0.035658723,0.04115784,0.030901166,0.035919954
dataset_31_credit-g.xls,-1,0.019529292,0.009760975,0,0.045438891,0.078028948,0.187633825
dataset_34_postoperative-patient-data.xls,0.145740532,0.020680702,0.024942881,0.043363183,0,0.114770607,0.052727747
dataset_35_dermatology.xls,0.18737592,0,0.018533309,0,0,0,0.213632624
dataset_39_ecoli.xls,0.004599084,0.004599084,0,0,0.004599084,0.184114379,0
dataset_40_sonar.xls,0,0,0.009894309,0.006380382,0.012567652,0.00827288,0.045017747
dataset_41_glass.xls,0.026987157,0.070609818,0.099099291,0,0.066561081,0.068913669,0.098887183
dataset_42_soybean.xls,0.140187978,0.001409489,0,0.001409489,0.001409489,0.130286364,0.128433787
dataset_43_haberman.xls,0.698968658,0.23228941,0.066948788,0,0.277175475,0.259871831,0.37587446
dataset_48_tae.xls,0.19027904,0.010955732,0.070738195,0.042513366,0,0.163056511,0.075825778
dataset_49_heart-c.xls,0.672176685,0.372536116,0.123313314,0,0.418765649,0.508244335,0.522272774
dataset_51_heart-h.xls,0.079808387,0.00583326,0.00583326,0,0.002802974,0.116702745,0.276941113
dataset_53_heart-statlog.xls,-1,0.379224125,0.123506329,0,0.440299033,0.522006493,0.51504472
dataset_55_hepatitis.xls,0.417267046,0,0.107387508,0.020059744,0.001160853,0.119937591,0.238381203
dataset_56_vote.xls,0.178349096,0,0.065067769,0.065067769,0.014051476,0.069099194,0.207084613
dataset_59_ionosphere.xls,0.173961776,0.077549948,0.068143454,0,0.075280261,0.077332698,0.177409654
dataset_5_arrhythmia.xlsx,-1,0.481639289,0.108598196,0,0.501573232,0.507272043,0.550209583
dataset_61_iris.xls,0,0.003609214,0,0,0,0.043000813,0.003609214
