,dbscan,kmeans,meanshift,agglomerative,ward,birch,affinity
chatfield_4.xls,-0.071704055,0.509079044,0.545978865,0.583012034,0.544607332,0.352252362,0.402547646
chscase_census6.xls,-0.294319841,0.389815264,0.528138484,0.716429401,0.682748102,0.682748102,0.1535483
chscase_geyser1.xls,0.776785065,0.776785065,0.776785065,0.776785065,0.776785065,0.603997628,0.460571793
chscase_whale.xls,0.312195864,0.563460866,0.671740905,0.722134054,0.620049359,0.515859732,0.493745751
climate-model-simulation-crashes.xls,0.133107751,0.202601071,0.090594108,0.202601071,0.202601071,0.127286897,0.036277426
cmc.xls,0.271207908,0.514156636,0.465882118,0.420864482,0.465641472,0.42559994,0.140474755
collins.xls,-1,0.638611194,0.638611194,0.638611194,0.638611194,0.560340852,0.523594797
cpu.xls,-0.38452894,0.722435145,0.704152724,0.786500026,0.719846624,0.645868607,0.630951241
credit-approval.xls,0.030930635,0.97693686,0.852304729,0.980781359,0.971629003,0.96496481,0.845368329
cylinder-bands.xls,-0.688805708,0.859651997,0.874154213,0.829602497,0.859216316,0.56535384,0.770455385
dataset_105_lung-cancer.xls,-1,0.09139321,0.142403763,0.117525085,0.117525085,0.08029571,0.069682315
dataset_10_lymph.xls,0.310238057,0.27342479,0.310400809,0.292169126,0.307404589,0.132537355,0.069797514
dataset_113_primary-tumor.xls,-0.025429084,0.108879054,0.200166664,0.200166664,0.108899107,0.095015177,0.121806152
dataset_13_breast-cancer.xls,-0.177117777,0.110962326,0.138818669,0.149246883,0.142168403,0.097850953,0.114528949
dataset_185_yeast.xls,0.786885775,0.636675787,0.786885775,0.786885775,0.786885775,0.553944461,0.355368797
dataset_189_baseball.xls,-1,0.541478651,0.546079448,0.714680816,0.522215097,0.491594871,0.268747793
dataset_190_braziltourism.xls,0.515650974,0.092433054,0.393969728,0.209373373,0.229449512,0.072618501,0.055001755
dataset_27_colic.xls,-0.076913528,0.068184168,0.09088699,0.055228267,0.04972915,0.059985824,0.054967036
dataset_31_credit-g.xls,-1,0.722240433,0.73200875,0.741769725,0.696330834,0.663740777,0.5541359
dataset_34_postoperative-patient-data.xls,0.06955826,0.19461809,0.19035591,0.171935609,0.215298792,0.100528184,0.162571044
dataset_35_dermatology.xls,0.153797111,0.341173031,0.322639722,0.341173031,0.341173031,0.341173031,0.127540407
dataset_39_ecoli.xls,0.776379762,0.776379762,0.780978846,0.780978846,0.776379762,0.596864467,0.780978846
dataset_40_sonar.xls,0.240570384,0.240570384,0.230676075,0.234190002,0.228002732,0.232297505,0.195552637
dataset_41_glass.xls,0.572512658,0.528889997,0.500400524,0.599499815,0.532938734,0.530586145,0.500612632
dataset_42_soybean.xls,0.182783223,0.321561712,0.322971201,0.321561712,0.321561712,0.192684836,0.194537414
dataset_43_haberman.xls,-0.035892925,0.430786324,0.596126945,0.663075733,0.385900259,0.403203902,0.287201273
dataset_48_tae.xls,0.292902176,0.472225484,0.412443021,0.44066785,0.483181216,0.320124705,0.407355438
dataset_49_heart-c.xls,0.089658027,0.389298596,0.638521398,0.761834712,0.343069063,0.253590377,0.239561938
dataset_51_heart-h.xls,0.426910214,0.500885341,0.500885341,0.506718601,0.503915627,0.390015857,0.229777488
dataset_53_heart-statlog.xls,-1,0.380348356,0.636066152,0.759572482,0.319273448,0.237565988,0.244527762
dataset_55_hepatitis.xls,0.110077182,0.527344229,0.41995672,0.507284484,0.526183375,0.407406638,0.288963026
dataset_56_vote.xls,0.14656583,0.324914927,0.259847158,0.259847158,0.310863451,0.255815733,0.117830314
dataset_59_ionosphere.xls,0.222721133,0.319132961,0.328539455,0.396682909,0.321402648,0.319350211,0.219273255
dataset_5_arrhythmia.xlsx,-1,0.130270603,0.503311696,0.611909892,0.11033666,0.104637849,0.061700309
dataset_61_iris.xls,0.665327828,0.661718615,0.665327828,0.665327828,0.665327828,0.622327015,0.661718615
