"/温度","_id","Al","B","C","Cb","Co","Cr","Fe","Hf","Mn","Mo","Nb","Ni","Re","Si","Ta","Ti","W","Zr","保温/保温时间","保温/拉伸温度","保温/第二次时效温度","冷却/油冷","冷却/空冷","力学性能/抗拉强度","固溶/固溶温度","固溶处理/时间","固溶处理/温度","固溶热处理/加热时间","固溶热处理/加热温度","固溶热处理/升温速度","固溶热处理/炉冷时间","固溶热处理/炉冷温度","固溶热处理/第一次保温时间","固溶热处理/第一次保温温度","固溶热处理/第三次保温时间","固溶热处理/第三次保温温度","固溶热处理/第二次保温时间","固溶热处理/第二次保温温度","固溶热处理/第四次保温时间","固溶热处理/第四次保温温度","备注","拉伸实验/测试温度","拉伸测试/变形量","拉伸测试/应变速率","拉伸测试/测试温度","拉伸测试/温度","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","时效/低温时效温度","时效/拉伸塑形应变","时效/第一次时效时间","时效/高温时效温度","时效1/时效时间","时效1/时效温度","时效处理/时间","时效处理/温度","材料牌号","棒料拉伸测试/温度","油淬/第一次时效温度","油淬/第二次时效时间","测试温度/温度","炉冷/温度","热处理工艺/一次空冷温度","热处理工艺/二次空冷温度","热处理工艺/冷却时间","热处理工艺/冷去时间","热处理工艺/加热时间","热处理工艺/加热温度","热处理工艺/炉冷温度","热处理工艺/空冷温度","热挤压/热挤压温度","热等静压/压力","热等静压/时间","热等静压/温度","热轧/热轧时间","热轧/热轧温度","片料拉伸测试/温度","直径/坯料直径","空冷热处理1/时间","空冷热处理1/温度","空冷热处理2/时间","空冷热处理2/温度","空冷热处理3/时间","空冷热处理3/温度","试样放置于高温/时间","试样放置于高温/温度","试样置于高温/放置温度","退火/退火时间","退火/退火温度","重量/铸锭重量"
,"ObjectId(""5b4c9673e6b1a81674aab62d"")","3.4","0.015","0.09",,"9.0","12.6",,,,"2.0",,"61wt.%",,,"4.0","4.1","4.0","0.11",,,,,,"136.8ksi",,,,,,,,,,,,,,,,,"",,,,,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.","10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09",,,,,,,,,"MOD 5A",,,,"70℉",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4c968ce6b1a81674aab637"")","3.4","0.015","0.09",,"9.0","12.6",,,,"2.0",,"61wt.%",,,"4.0","4.1","4.0","0.11",,,,,,"154.9ksi",,,,,,,,,,,,,,,,,"",,,,,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.","10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09",,,,,,,,,"MOD 5A",,,,"70℉",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4d002ee6b1a819a85d7e21"")","3",,"0.1",,"59.28wt.%","10",,"5.6",,"5",,"0.02","9",,"6",,"2",,,,,,,"1141.44Mpa",,,,"0.5h","1200℃","20℃/min","10h","1338℃","1h","1325℃",,,"1h","1332℃",,,"",,,,"816℃",,"Wilson B C, Fuchs G E. The Effect of Composition, Misfit, and Heat Treatment on the Primary Creep Behavior of Single Crystal Nickel Base Superalloys PWA 1480 and PWA 1484[C]// Superalloys. 2008:149-158.","10.11961/mater0203.MGI.20171221.ds.0054","尹海清","摘录","史政涛","2018-01-09",,,,"871℃",,,,,"PWA 1484",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4d006fe6b1a819a85d7e39"")","3",,"0.1",,"59.28wt.%","10",,"5.6",,"5",,"0.02","9",,"6",,"2",,,,,,,"1116.55Mpa",,,,"0.5h","1200℃","20℃/min","10h","1338℃","1h","1325℃",,,"1h","1332℃",,,"",,,,"700℃",,"Wilson B C, Fuchs G E. The Effect of Composition, Misfit, and Heat Treatment on the Primary Creep Behavior of Single Crystal Nickel Base Superalloys PWA 1480 and PWA 1484[C]// Superalloys. 2008:149-158.","10.11961/mater0203.MGI.20171221.ds.0054","尹海清","摘录","史政涛","2018-01-09",,,,"871℃",,,,,"PWA 1484",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4d0073e6b1a819a85d7e3b"")","3",,"0.1",,"59.28wt.%","10",,"5.6",,"5",,"0.02","9",,"6",,"2",,,,,,,"1199.62Mpa",,,,"0.5h","1200℃","20℃/min","10h","1338℃","1h","1325℃",,,"1h","1332℃",,,"",,,,"815℃",,"Wilson B C, Fuchs G E. The Effect of Composition, Misfit, and Heat Treatment on the Primary Creep Behavior of Single Crystal Nickel Base Superalloys PWA 1480 and PWA 1484[C]// Superalloys. 2008:149-158.","10.11961/mater0203.MGI.20171221.ds.0054","尹海清","摘录","史政涛","2018-01-09","704℃",,,,,,,,"PWA 1484",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4d008ce6b1a819a85d7e45"")","3",,"0.1",,"59.28wt.%","10",,"5.6",,"5",,"0.02","9",,"6",,"2",,,,,,,"1112.69Mpa",,,,"0.5h","1200℃","20℃/min","10h","1338℃","1h","1325℃",,,"1h","1332℃",,,"",,,,"700℃",,"Wilson B C, Fuchs G E. The Effect of Composition, Misfit, and Heat Treatment on the Primary Creep Behavior of Single Crystal Nickel Base Superalloys PWA 1480 and PWA 1484[C]// Superalloys. 2008:149-158.","10.11961/mater0203.MGI.20171221.ds.0054","尹海清","摘录","史政涛","2018-01-09","704℃",,,,,,,,"PWA 1484",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4d00a4e6b1a819a85d7e4d"")","3",,"1.5",,"59.46wt.%","5",,,,,,"0.04","12",,"4","5","10",,,,,,,"1351.91Mpa",,,,"0.5h","1200℃","20℃/min","4h","1308℃","1h","1293℃","2h","1299℃","1h","1296℃","1h","1302℃","",,,,"815℃",,"Wilson B C, Fuchs G E. The Effect of Composition, Misfit, and Heat Treatment on the Primary Creep Behavior of Single Crystal Nickel Base Superalloys PWA 1480 and PWA 1484[C]// Superalloys. 2008:149-158.","10.11961/mater0203.MGI.20171221.ds.0054","尹海清","摘录","史政涛","2018-01-09","704℃",,,,,,,,"PWA 1480+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4d00c5e6b1a819a85d7e59"")","3",,"1.5",,"59.46wt.%","5",,,,,,"0.04","12",,"4","5","10",,,,,,,"1385.63Mpa",,,,"0.5h","1200℃","20℃/min","4h","1308℃","1h","1293℃","2h","1299℃","1h","1296℃","1h","1302℃","",,,,"815℃",,"Wilson B C, Fuchs G E. The Effect of Composition, Misfit, and Heat Treatment on the Primary Creep Behavior of Single Crystal Nickel Base Superalloys PWA 1480 and PWA 1484[C]// Superalloys. 2008:149-158.","10.11961/mater0203.MGI.20171221.ds.0054","尹海清","摘录","史政涛","2018-01-09",,,,"871℃",,,,,"PWA 1480+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4d00d3e6b1a819a85d7e5f"")","3",,"1.5",,"59.46wt.%","5",,,,,,"0.04","12",,"4","5","10",,,,,,,"1516.2Mpa",,,,"0.5h","1200℃","20℃/min","4h","1308℃","1h","1293℃","2h","1299℃","1h","1296℃","1h","1302℃","",,,,"700℃",,"Wilson B C, Fuchs G E. The Effect of Composition, Misfit, and Heat Treatment on the Primary Creep Behavior of Single Crystal Nickel Base Superalloys PWA 1480 and PWA 1484[C]// Superalloys. 2008:149-158.","10.11961/mater0203.MGI.20171221.ds.0054","尹海清","摘录","史政涛","2018-01-09",,,,"871℃",,,,,"PWA 1480+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4d00fae6b1a819a85d7e6d"")","3",,"1.5",,"59.46wt.%","5",,,,,,"0.04","12",,"4","5","10",,,,,,,"1215.07Mpa",,,,"0.5h","1200℃","20℃/min","4h","1308℃","1h","1293℃","2h","1299℃","1h","1296℃","1h","1302℃","",,,,"700℃",,"Wilson B C, Fuchs G E. The Effect of Composition, Misfit, and Heat Treatment on the Primary Creep Behavior of Single Crystal Nickel Base Superalloys PWA 1480 and PWA 1484[C]// Superalloys. 2008:149-158.","10.11961/mater0203.MGI.20171221.ds.0054","尹海清","摘录","史政涛","2018-01-09","704℃",,,,,,,,"PWA 1480+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4d010ae6b1a819a85d7e73"")","12",,"1.5",,"62.46wt.%","5",,,,,,"0.04",,,"4","5","10",,,,,,,"1213.76Mpa",,,,"0.5h","1200℃","20℃/min","10h","1302℃","1h","1295℃",,,"1h","1299℃",,,"",,,,"815℃",,"Wilson B C, Fuchs G E. The Effect of Composition, Misfit, and Heat Treatment on the Primary Creep Behavior of Single Crystal Nickel Base Superalloys PWA 1480 and PWA 1484[C]// Superalloys. 2008:149-158.","10.11961/mater0203.MGI.20171221.ds.0054","尹海清","摘录","史政涛","2018-01-09",,,,"871℃",,,,,"PWA 1480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4d010ee6b1a819a85d7e75"")","12",,"1.5",,"62.46wt.%","5",,,,,,"0.04",,,"4","5","10",,,,,,,"1287.39Mpa",,,,"0.5h","1200℃","20℃/min","10h","1302℃","1h","1295℃",,,"1h","1299℃",,,"",,,,"815℃",,"Wilson B C, Fuchs G E. The Effect of Composition, Misfit, and Heat Treatment on the Primary Creep Behavior of Single Crystal Nickel Base Superalloys PWA 1480 and PWA 1484[C]// Superalloys. 2008:149-158.","10.11961/mater0203.MGI.20171221.ds.0054","尹海清","摘录","史政涛","2018-01-09","704℃",,,,,,,,"PWA 1480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4d0140e6b1a819a85d7e87"")","12",,"1.5",,"62.46wt.%","5",,,,,,"0.04",,,"4","5","10",,,,,,,"1429.33Mpa",,,,"0.5h","1200℃","20℃/min","10h","1302℃","1h","1295℃",,,"1h","1299℃",,,"",,,,"700℃",,"Wilson B C, Fuchs G E. The Effect of Composition, Misfit, and Heat Treatment on the Primary Creep Behavior of Single Crystal Nickel Base Superalloys PWA 1480 and PWA 1484[C]// Superalloys. 2008:149-158.","10.11961/mater0203.MGI.20171221.ds.0054","尹海清","摘录","史政涛","2018-01-09","704℃",,,,,,,,"PWA 1480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4d0167e6b1a819a85d7e97"")","12",,"1.5",,"62.46wt.%","5",,,,,,"0.04",,,"4","5","10",,,,,,,"1371.15Mpa",,,,"0.5h","1200℃","20℃/min","10h","1302℃","1h","1295℃",,,"1h","1299℃",,,"",,,,"700℃",,"Wilson B C, Fuchs G E. The Effect of Composition, Misfit, and Heat Treatment on the Primary Creep Behavior of Single Crystal Nickel Base Superalloys PWA 1480 and PWA 1484[C]// Superalloys. 2008:149-158.","10.11961/mater0203.MGI.20171221.ds.0054","尹海清","摘录","史政涛","2018-01-09",,,,"871℃",,,,,"PWA 1480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4d0312e6b1a819a85d7f39"")","5.02wt.%","0.0088","0.053",,"15.63","8.31",,,,"3.61","2.62",,,,,"1.82","5.50","0.015",,,,,,"1308Mpa",,,,,,,,,,,,,,,,,"",,,,,,"Radavich J, Furrer D, Carneiro T, et al. The Microstructure and Mechanical Properties of EP741NP Powder Metallurgy Disc Material[C]// Superalloys. 2008:63-72.","10.11961/mater0203.MGI.20171221.ds.0051","尹海清","摘录","史政涛","2018-01-09",,,,,,,,,"Alloy-2",,,,,,,,"8h",,,,"1210℃","1160℃",,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4d0317e6b1a819a85d7f3b"")","5.02wt.%","0.0088","0.053",,"15.63","8.31",,,,"3.61","2.62",,,,,"1.82","5.50","0.015",,,,,,"1356.9Mpa",,,,,,,,,,,,,,,,,"",,,,,,"Radavich J, Furrer D, Carneiro T, et al. The Microstructure and Mechanical Properties of EP741NP Powder Metallurgy Disc Material[C]// Superalloys. 2008:63-72.","10.11961/mater0203.MGI.20171221.ds.0051","尹海清","摘录","史政涛","2018-01-09",,,,,,,,,"Alloy-2",,,,,,,,,,,,,"1210℃",,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4d031ce6b1a819a85d7f3d"")","5.02wt.%","0.0088","0.053",,"15.63","8.31",,,,"3.61","2.62",,,,,"1.82","5.50","0.015",,,,,,"1479.7Mpa",,,,,,,,,,,,,,,,,"",,,,,,"Radavich J, Furrer D, Carneiro T, et al. The Microstructure and Mechanical Properties of EP741NP Powder Metallurgy Disc Material[C]// Superalloys. 2008:63-72.","10.11961/mater0203.MGI.20171221.ds.0051","尹海清","摘录","史政涛","2018-01-09",,,,,,,,,"Alloy-2",,,,,,,,"8h",,,,"1210℃","1160℃",,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4d0321e6b1a819a85d7f3f"")","5.17wt.%","0.0094","0.041",,"15.76","7.98",,"0.26",,"3.71","2.54",,,,,"1.82","5.49","0.041",,,,,,"1342.5Mpa",,,,,,,,,,,,,,,,,"",,,,,,"Radavich J, Furrer D, Carneiro T, et al. The Microstructure and Mechanical Properties of EP741NP Powder Metallurgy Disc Material[C]// Superalloys. 2008:63-72.","10.11961/mater0203.MGI.20171221.ds.0051","尹海清","摘录","史政涛","2018-01-09",,,,,,,,,"Alloy-1",,,,,,,,,,,,,"1210℃",,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4d0326e6b1a819a85d7f41"")","5.17wt.%","0.0094","0.041",,"15.76","7.98",,"0.26",,"3.71","2.54",,,,,"1.82","5.49","0.041",,,,,,"1529.3Mpa",,,,,,,,,,,,,,,,,"",,,,,,"Radavich J, Furrer D, Carneiro T, et al. The Microstructure and Mechanical Properties of EP741NP Powder Metallurgy Disc Material[C]// Superalloys. 2008:63-72.","10.11961/mater0203.MGI.20171221.ds.0051","尹海清","摘录","史政涛","2018-01-09",,,,,,,,,"Alloy-1",,,,,,,,,,,,,"1210℃",,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4d032be6b1a819a85d7f43"")","5.17wt.%","0.0094","0.041",,"15.76","7.98",,"0.26",,"3.71","2.54",,,,,"1.82","5.49","0.041",,,,,,"1319Mpa",,,,,,,,,,,,,,,,,"",,,,,,"Radavich J, Furrer D, Carneiro T, et al. The Microstructure and Mechanical Properties of EP741NP Powder Metallurgy Disc Material[C]// Superalloys. 2008:63-72.","10.11961/mater0203.MGI.20171221.ds.0051","尹海清","摘录","史政涛","2018-01-09",,,,,,,,,"Alloy-1",,,,,,,,"8h",,,,"1210℃","1160℃",,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4d032fe6b1a819a85d7f45"")","5.17wt.%","0.0094","0.041",,"15.76","7.98",,"0.26",,"3.71","2.54",,,,,"1.82","5.49","0.041",,,,,,"1292.1Mpa",,,,,,,,,,,,,,,,,"",,,,,,"Radavich J, Furrer D, Carneiro T, et al. The Microstructure and Mechanical Properties of EP741NP Powder Metallurgy Disc Material[C]// Superalloys. 2008:63-72.","10.11961/mater0203.MGI.20171221.ds.0051","尹海清","摘录","史政涛","2018-01-09",,,,,,,,,"Alloy-1",,,,,,,,"8h",,,,"1210℃","1160℃",,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4d0334e6b1a819a85d7f47"")","5.02wt.%","0.0088","0.053",,"15.63","8.31",,,,"3.61","2.62",,,,,"1.82","5.50","0.015",,,,,,"1192.8Mpa",,,,,,,,,,,,,,,,,"",,,,,,"Radavich J, Furrer D, Carneiro T, et al. The Microstructure and Mechanical Properties of EP741NP Powder Metallurgy Disc Material[C]// Superalloys. 2008:63-72.","10.11961/mater0203.MGI.20171221.ds.0051","尹海清","摘录","史政涛","2018-01-09",,,,,,,,,"Alloy-2",,,,,,,,,"32h",,,"1210℃","871℃",,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4d0339e6b1a819a85d7f49"")","5.02wt.%","0.0088","0.053",,"15.63","8.31",,,,"3.61","2.62",,,,,"1.82","5.50","0.015",,,,,,"1370Mpa",,,,,,,,,,,,,,,,,"",,,,,,"Radavich J, Furrer D, Carneiro T, et al. The Microstructure and Mechanical Properties of EP741NP Powder Metallurgy Disc Material[C]// Superalloys. 2008:63-72.","10.11961/mater0203.MGI.20171221.ds.0051","尹海清","摘录","史政涛","2018-01-09",,,,,,,,,"Alloy-2",,,,,,,,,,,,,"1210℃",,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4d033ee6b1a819a85d7f4b"")","5.02wt.%","0.0088","0.053",,"15.63","8.31",,,,"3.61","2.62",,,,,"1.82","5.50","0.015",,,,,,"1531.4Mpa",,,,,,,,,,,,,,,,,"",,,,,,"Radavich J, Furrer D, Carneiro T, et al. The Microstructure and Mechanical Properties of EP741NP Powder Metallurgy Disc Material[C]// Superalloys. 2008:63-72.","10.11961/mater0203.MGI.20171221.ds.0051","尹海清","摘录","史政涛","2018-01-09",,,,,,,,,"Alloy-2",,,,,,,,,,,,,"1210℃",,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4d0343e6b1a819a85d7f4d"")","5.17wt.%","0.0094","0.041",,"15.76","7.98",,"0.26",,"3.71","2.54",,,,,"1.82","5.49","0.041",,,,,,"1192.1Mpa",,,,,,,,,,,,,,,,,"",,,,,,"Radavich J, Furrer D, Carneiro T, et al. The Microstructure and Mechanical Properties of EP741NP Powder Metallurgy Disc Material[C]// Superalloys. 2008:63-72.","10.11961/mater0203.MGI.20171221.ds.0051","尹海清","摘录","史政涛","2018-01-09",,,,,,,,,"Alloy-1",,,,,,,,,"32h",,,"1210℃","871℃",,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4d0348e6b1a819a85d7f4f"")","5.17wt.%","0.0094","0.041",,"15.76","7.98",,"0.26",,"3.71","2.54",,,,,"1.82","5.49","0.041",,,,,,"1353.5Mpa",,,,,,,,,,,,,,,,,"",,,,,,"Radavich J, Furrer D, Carneiro T, et al. The Microstructure and Mechanical Properties of EP741NP Powder Metallurgy Disc Material[C]// Superalloys. 2008:63-72.","10.11961/mater0203.MGI.20171221.ds.0051","尹海清","摘录","史政涛","2018-01-09",,,,,,,,,"Alloy-1",,,,,,,,,,,,,"1210℃",,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4d034de6b1a819a85d7f51"")","5.02wt.%","0.0088","0.053",,"15.63","8.31",,,,"3.61","2.62",,,,,"1.82","5.50","0.015",,,,,,"1537.6Mpa",,,,,,,,,,,,,,,,,"",,,,,,"Radavich J, Furrer D, Carneiro T, et al. The Microstructure and Mechanical Properties of EP741NP Powder Metallurgy Disc Material[C]// Superalloys. 2008:63-72.","10.11961/mater0203.MGI.20171221.ds.0051","尹海清","摘录","史政涛","2018-01-09",,,,,,,,,"Alloy-2",,,,,,,,,,,,,"1210℃",,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4d0351e6b1a819a85d7f53"")","5.17wt.%","0.0094","0.041",,"15.76","7.98",,"0.26",,"3.71","2.54",,,,,"1.82","5.49","0.041",,,,,,"1530.7Mpa",,,,,,,,,,,,,,,,,"",,,,,,"Radavich J, Furrer D, Carneiro T, et al. The Microstructure and Mechanical Properties of EP741NP Powder Metallurgy Disc Material[C]// Superalloys. 2008:63-72.","10.11961/mater0203.MGI.20171221.ds.0051","尹海清","摘录","史政涛","2018-01-09",,,,,,,,,"Alloy-1",,,,,,,,,,,,,"1210℃",,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4d0356e6b1a819a85d7f55"")","5.02wt.%","0.0088","0.053",,"15.63","8.31",,,,"3.61","2.62",,,,,"1.82","5.50","0.015",,,,,,"1283.2Mpa",,,,,,,,,,,,,,,,,"",,,,,,"Radavich J, Furrer D, Carneiro T, et al. The Microstructure and Mechanical Properties of EP741NP Powder Metallurgy Disc Material[C]// Superalloys. 2008:63-72.","10.11961/mater0203.MGI.20171221.ds.0051","尹海清","摘录","史政涛","2018-01-09",,,,,,,,,"Alloy-2",,,,,,,,"8h",,,,"1210℃","1160℃",,,,,,,,,,,,,,,,,,,,
