"_id","Al","B","C","Co","Cr","Mn","Mo","Nb","Ni","Re","Ru","Si","Ta","Ti","W","Y","Zr","力学性能/持久寿命","固溶/时间","固溶/温度","固溶处理油淬/时间","固溶处理油淬/温度","均匀化处理/时间","均匀化处理/温度","备注","应力破裂测试/力","应力破裂测试/温度","持久测试/应力","持久测试/温度","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","时效处理/时间","时效处理/温度","时效处理空冷/时间","时效处理空冷/温度","材料牌号","热轧/厚度","热轧/温度","真空热挤/挤压率","真空热挤/温度","第1步热处理/时间","第1步热处理/温度","第2步热处理/时间","第2步热处理/温度","第3步热处理/时间","第3步热处理/温度","第4步热处理/时间","第4步热处理/温度","第一次轧制/温度","第二次轧制/温度","蠕变测试/拉应力","蠕变测试/温度","试样放置于高温/时间","试样放置于高温/温度"
"ObjectId(""5b4d1370e6b1a819a85d8577"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","53.3829h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"945.84h","900℃"
"ObjectId(""5b4d1375e6b1a819a85d8579"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","42.4193h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"005h","9℃"
"ObjectId(""5b4d1379e6b1a819a85d857b"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","52.7107h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"001h","9℃"
"ObjectId(""5b4d137ee6b1a819a85d857d"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","50.4853h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"002h","9℃"
"ObjectId(""5b4d1383e6b1a819a85d857f"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","54.3441h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"811.75h","900℃"
"ObjectId(""5b4d1388e6b1a819a85d8581"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,,"1",,,"0.08","26.4999h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"008h","9℃"
"ObjectId(""5b4d1397e6b1a819a85d8587"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","51.4465h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"001h","9℃"
"ObjectId(""5b4d139ce6b1a819a85d8589"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","56.2213h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"692.39h","900℃"
"ObjectId(""5b4d13a0e6b1a819a85d858b"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","45.2159h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"004h","9℃"
"ObjectId(""5b4d13aae6b1a819a85d858d"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","63.5454h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"373.17h","900℃"
"ObjectId(""5b4d13afe6b1a819a85d858f"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","60.3274h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"003h","9℃"
"ObjectId(""5b4d13b4e6b1a819a85d8591"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","65.4748h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"269.02h","900℃"
"ObjectId(""5b4d13b9e6b1a819a85d8593"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","60.9891h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"484.78h","900℃"
"ObjectId(""5b4d13bee6b1a819a85d8595"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","68.6789h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"72.048h","900℃"
"ObjectId(""5b4d13c3e6b1a819a85d8597"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","57.179h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"541.28h","900℃"
"ObjectId(""5b4d13c8e6b1a819a85d8599"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","69.3162h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"35.64h","900℃"
"ObjectId(""5b4d13cce6b1a819a85d859b"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","61.9608h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"421.73h","900℃"
"ObjectId(""5b4d13d1e6b1a819a85d859d"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","69.668h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"14.07h","900℃"
"ObjectId(""5b4d13d6e6b1a819a85d859f"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","58.4502h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"451.45h","900℃"
"ObjectId(""5b4d13dbe6b1a819a85d85a1"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","64.4997h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"325.05h","900℃"
"ObjectId(""5b4d13e0e6b1a819a85d85a3"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","67.7246h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"001h","9℃"
"ObjectId(""5b4d13e5e6b1a819a85d85a5"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","34.0539h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"508h","8℃"
"ObjectId(""5b4d13e9e6b1a819a85d85a7"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","36.5022h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"508h","8℃"
"ObjectId(""5b4d13efe6b1a819a85d85a9"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","66.7355h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"218.14h","900℃"
"ObjectId(""5b4d13f9e6b1a819a85d85ab"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","59.084h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"501h","8℃"
"ObjectId(""5b4d13fde6b1a819a85d85ad"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","47.5702h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"504h","8℃"
"ObjectId(""5b4d1402e6b1a819a85d85af"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","52.8326h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"503h","8℃"
"ObjectId(""5b4d1407e6b1a819a85d85b1"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","61.9886h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"501h","8℃"
"ObjectId(""5b4d140ce6b1a819a85d85b3"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","38.954h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"507h","8℃"
"ObjectId(""5b4d1411e6b1a819a85d85b5"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","41.0994h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"506h","8℃"
"ObjectId(""5b4d1416e6b1a819a85d85b7"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","50.043h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"503h","8℃"
"ObjectId(""5b4d141be6b1a819a85d85b9"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","64.8897h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"750.64h","850℃"
"ObjectId(""5b4d1420e6b1a819a85d85bb"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","45.1045h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"505h","8℃"
"ObjectId(""5b4d1424e6b1a819a85d85bd"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","63.9111h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"969.66h","850℃"
"ObjectId(""5b4d1429e6b1a819a85d85bf"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","57.5099h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"502h","8℃"
"ObjectId(""5b4d142ee6b1a819a85d85c1"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","55.3123h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"502h","8℃"
"ObjectId(""5b4d1433e6b1a819a85d85c3"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","43.2586h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"506h","8℃"
"ObjectId(""5b4d1438e6b1a819a85d85c5"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","65.8823h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"599.67h","850℃"
"ObjectId(""5b4d143de6b1a819a85d85c7"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","60.9786h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"501h","8℃"
"ObjectId(""5b4d1448e6b1a819a85d85c9"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","68.6371h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"217.88h","850℃"
"ObjectId(""5b4d144ce6b1a819a85d85cb"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","101.047h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"007h","8℃"
"ObjectId(""5b4d1451e6b1a819a85d85cd"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","89.3836h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"004h","8℃"
"ObjectId(""5b4d1456e6b1a819a85d85cf"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","84.3302h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"23.7h","850℃"
"ObjectId(""5b4d145ee6b1a819a85d85d1"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","95.6524h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"005h","8℃"
